time,body,x,y,z,vx,vy,vz
1,1,0.999942,0.017320,0.000000,-0.005774,1.732000,0.000000
1,2,-0.514971,0.857290,0.000000,-1.497113,-0.871000,0.000000
1,3,-0.484971,-0.874610,0.000000,1.502887,-0.861000,0.000000
2,1,0.999827,0.034639,0.000000,-0.011545,1.731900,0.000000
2,2,-0.529913,0.848531,0.000000,-1.494141,-0.875949,0.000000
2,3,-0.469914,-0.883170,0.000000,1.505686,-0.855951,0.000000
3,1,0.999654,0.051956,0.000000,-0.017311,1.731700,0.000000
3,2,-0.544823,0.839722,0.000000,-1.491085,-0.880842,0.000000
3,3,-0.454830,-0.891678,0.000000,1.508396,-0.850859,0.000000
4,1,0.999423,0.069270,0.000000,-0.023065,1.731401,0.000000
4,2,-0.559703,0.830865,0.000000,-1.487949,-0.885676,0.000000
4,3,-0.439720,-0.900135,0.000000,1.511014,-0.845726,0.000000
5,1,0.999135,0.086580,0.000000,-0.028804,1.731003,0.000000
5,2,-0.574550,0.821961,0.000000,-1.484735,-0.890447,0.000000
5,3,-0.424585,-0.908541,0.000000,1.513539,-0.840557,0.000000
6,1,0.998790,0.103885,0.000000,-0.034523,1.730508,0.000000
6,2,-0.589365,0.813009,0.000000,-1.481446,-0.895152,0.000000
6,3,-0.409425,-0.916894,0.000000,1.515969,-0.835356,0.000000
7,1,0.998388,0.121184,0.000000,-0.040218,1.729915,0.000000
7,2,-0.604146,0.804011,0.000000,-1.478086,-0.899788,0.000000
7,3,-0.394242,-0.925196,0.000000,1.518304,-0.830128,0.000000
8,1,0.997929,0.138477,0.000000,-0.045884,1.729228,0.000000
8,2,-0.618892,0.794968,0.000000,-1.474657,-0.904351,0.000000
8,3,-0.379037,-0.933445,0.000000,1.520541,-0.824876,0.000000
9,1,0.997414,0.155761,0.000000,-0.051519,1.728446,0.000000
9,2,-0.633604,0.785880,0.000000,-1.471163,-0.908840,0.000000
9,3,-0.363810,-0.941641,0.000000,1.522681,-0.819606,0.000000
10,1,0.996842,0.173037,0.000000,-0.057116,1.727572,0.000000
10,2,-0.648280,0.776747,0.000000,-1.467607,-0.913251,0.000000
